sex,length,diameter,shuckedweight,shellweight,class
F,0.565,0.45,0.322,0.37,12
F,0.655,0.5,0.508,0.445,18
M,0.525,0.395,0.285,0.285,19
F,0.525,0.43,0.289,0.195,10
F,0.5,0.39,0.2505,0.195,15
F,0.44,0.34,0.1505,0.135,8
F,0.45,0.36,0.203,0.13,12
F,0.515,0.4,0.191,0.17,9
M,0.545,0.45,0.2925,0.365,16
M,0.45,0.355,0.18,0.155,10
F,0.565,0.455,0.439,0.3,10
F,0.67,0.545,0.5985,0.495,15
I,0.29,0.225,0.071,0.045,9
I,0.41,0.33,0.1525,0.11,7
F,0.46,0.375,0.2205,0.17,7
F,0.56,0.44,0.4315,0.255,9
M,0.62,0.5,0.4605,0.43,12
M,0.515,0.4,0.2955,0.185,16
F,0.56,0.46,0.342,0.355,12
F,0.5,0.4,0.273,0.295,13
I,0.435,0.355,0.1535,0.165,9
M,0.76,0.575,0.7035,0.56,14
F,0.615,0.5,0.488,0.345,17
F,0.565,0.46,0.3455,0.275,10
I,0.14,0.105,0.005,0.005,4
M,0.445,0.345,0.2055,0.1085,15
F,0.525,0.43,0.3315,0.1775,12
I,0.16,0.12,0.0075,0.005,4
M,0.575,0.47,0.292,0.35,16
M,0.245,0.18,0.0245,0.02,4
I,0.48,0.39,0.276,0.185,13
I,0.455,0.365,0.1515,0.145,9
F,0.455,0.375,0.1985,0.12,10
M,0.455,0.355,0.1865,0.168,13
I,0.355,0.27,0.083,0.075,10
I,0.54,0.4,0.315,0.215,11
I,0.56,0.445,0.4535,0.275,11
F,0.52,0.41,0.2845,0.225,10
I,0.615,0.46,0.4335,0.33,13
F,0.645,0.49,0.479,0.345,18
M,0.295,0.23,0.042,0.043,8
M,0.375,0.28,0.0875,0.08,10
I,0.525,0.4,0.2405,0.253,10
F,0.5,0.4,0.27,0.225,20
F,0.47,0.35,0.1955,0.155,8
I,0.58,0.42,0.2725,0.19,14
I,0.725,0.55,0.7735,0.655,10
F,0.65,0.515,0.564,0.425,16
F,0.67,0.535,0.6275,0.47,21
I,0.55,0.44,0.312,0.3,17
I,0.235,0.18,0.022,0.018,6
M,0.52,0.41,0.263,0.26,11
F,0.475,0.4,0.186,0.21,13
M,0.53,0.425,0.237,0.295,13
F,0.35,0.275,0.0745,0.07,10
M,0.555,0.42,0.3075,0.25,14
M,0.505,0.39,0.2595,0.19,11
F,0.54,0.44,0.391,0.355,15
M,0.55,0.45,0.3765,0.4,14
I,0.235,0.175,0.0205,0.019,6
M,0.525,0.41,0.2635,0.25,13
M,0.475,0.365,0.202,0.19,16
F,0.53,0.4,0.2855,0.23,12
F,0.525,0.415,0.2355,0.27,13
F,0.53,0.425,0.2115,0.255,13
I,0.315,0.235,0.08,0.047,5
I,0.465,0.355,0.255,0.184,8
M,0.485,0.385,0.296,0.133,7
I,0.49,0.385,0.271,0.1775,9
F,0.515,0.395,0.281,0.22,12
F,0.555,0.44,0.4935,0.263,10
F,0.61,0.5,0.5185,0.3345,9
F,0.68,0.55,0.8225,0.515,11
F,0.72,0.575,1.0745,0.585,10
I,0.27,0.205,0.059,0.0305,4
I,0.295,0.22,0.052,0.035,6
I,0.315,0.23,0.0625,0.045,6
I,0.38,0.3,0.1655,0.082,6
I,0.385,0.285,0.0935,0.07,6
I,0.4,0.295,0.1105,0.066,6
M,0.415,0.315,0.199,0.097,8
I,0.415,0.33,0.1925,0.1025,7
I,0.44,0.33,0.163,0.119,6
I,0.45,0.35,0.2205,0.1405,7
I,0.475,0.35,0.2035,0.135,7
M,0.485,0.39,0.251,0.169,8
F,0.525,0.41,0.416,0.18,7
M,0.565,0.455,0.444,0.275,8
F,0.585,0.45,0.3545,0.225,6
M,0.6,0.465,0.6245,0.33,10
M,0.63,0.48,0.53,0.322,11
F,0.655,0.545,0.6865,0.547,11
F,0.67,0.52,0.758,0.5055,11
M,0.67,0.51,0.6705,0.4505,10
M,0.72,0.6,0.984,0.621,12
I,0.185,0.135,0.011,0.01,4
I,0.245,0.175,0.04,0.02,5
I,0.315,0.23,0.0575,0.3505,6
I,0.415,0.31,0.181,0.083,6
I,0.455,0.35,0.2855,0.1325,7
I,0.48,0.35,0.352,0.135,6
I,0.485,0.375,0.2505,0.1525,8
I,0.51,0.39,0.293,0.1555,8
F,0.555,0.43,0.3525,0.2015,9
M,0.585,0.465,0.4315,0.247,9
F,0.585,0.46,0.503,0.2515,11
M,0.585,0.455,0.5515,0.305,12
M,0.61,0.49,0.597,0.265,8
M,0.61,0.475,0.62,0.245,9
M,0.615,0.53,0.5775,0.286,9
F,0.62,0.465,0.479,0.255,8
M,0.625,0.505,0.5425,0.323,8
M,0.625,0.48,0.4865,0.285,10
M,0.635,0.48,0.665,0.225,10
F,0.64,0.525,0.646,0.37,9
M,0.66,0.485,0.61,0.3,8
M,0.66,0.515,0.7055,0.335,10
F,0.68,0.55,0.713,0.4295,11
F,0.69,0.58,0.708,0.4715,10
M,0.72,0.545,0.8215,0.4705,11
I,0.275,0.2,0.037,0.03,6
I,0.33,0.26,0.0915,0.055,7
I,0.365,0.28,0.0865,0.0605,7
I,0.42,0.31,0.1125,0.0925,8
I,0.435,0.335,0.1355,0.0965,7
I,0.435,0.325,0.174,0.109,7
I,0.44,0.325,0.258,0.1075,8
I,0.495,0.385,0.2075,0.172,10
M,0.51,0.405,0.327,0.1805,7
I,0.54,0.42,0.3595,0.1985,8
I,0.54,0.415,0.322,0.19,10
I,0.55,0.445,0.288,0.21,11
F,0.575,0.45,0.447,0.275,12
I,0.575,0.45,0.449,0.215,10
F,0.575,0.46,0.4815,0.236,10
F,0.58,0.425,0.3615,0.239,10
M,0.59,0.45,0.445,0.301,9
M,0.6,0.46,0.285,0.269,11
M,0.62,0.485,0.4655,0.28,11
F,0.625,0.495,0.6335,0.35,13
M,0.625,0.495,0.46,0.34,9
M,0.625,0.495,0.5805,0.355,9
M,0.625,0.5,0.4615,0.305,10
F,0.625,0.485,0.5075,0.36,10
M,0.645,0.51,0.5755,0.4545,11
F,0.69,0.535,0.797,0.499,11
F,0.695,0.56,0.8195,0.437,10
M,0.515,0.39,0.302,0.1415,8
M,0.62,0.465,0.375,0.278,10
M,0.63,0.49,0.5845,0.3,9
F,0.63,0.515,0.553,0.35,11
F,0.64,0.49,0.653,0.305,9
I,0.37,0.275,0.093,0.072,6
I,0.4,0.3,0.1335,0.0935,6
I,0.41,0.305,0.1,0.085,7
I,0.5,0.36,0.1875,0.1305,8
I,0.515,0.395,0.2365,0.19,9
I,0.52,0.4,0.278,0.169,8
M,0.545,0.45,0.3795,0.216,8
I,0.545,0.43,0.289,0.2615,8
I,0.55,0.435,0.348,0.206,9
M,0.55,0.43,0.4405,0.225,10
M,0.55,0.385,0.343,0.19,8
I,0.555,0.43,0.3395,0.2095,8
M,0.56,0.45,0.425,0.2725,11
F,0.575,0.48,0.506,0.31,10
M,0.585,0.51,0.639,0.3,11
I,0.595,0.475,0.4865,0.2755,10
M,0.61,0.365,0.488,0.27,9
M,0.625,0.5,0.645,0.3705,12
F,0.625,0.49,0.7465,0.3855,11
M,0.63,0.53,0.667,0.3555,13
F,0.635,0.485,0.467,0.35,11
F,0.635,0.5,0.684,0.39,12
M,0.67,0.525,0.728,0.381,9
F,0.675,0.51,0.475,0.386,11
M,0.7,0.545,0.8825,0.506,10
F,0.715,0.565,0.844,0.5385,9
F,0.72,0.59,0.7755,0.48,11
I,0.48,0.35,0.2365,0.126,7
M,0.48,0.365,0.2405,0.139,8
I,0.515,0.4,0.3495,0.1785,8
F,0.56,0.42,0.7755,0.4525,9
I,0.56,0.42,0.414,0.2,8
F,0.57,0.45,0.531,0.209,9
I,0.3,0.215,0.048,0.042,4
I,0.455,0.35,0.215,0.15,9
I,0.49,0.375,0.2275,0.1765,8
I,0.5,0.385,0.197,0.165,8
M,0.55,0.42,0.321,0.252,11
I,0.55,0.445,0.378,0.26,10
M,0.555,0.435,0.404,0.255,8
I,0.57,0.425,0.331,0.24,10
M,0.58,0.45,0.3465,0.263,10
M,0.585,0.45,0.4055,0.251,11
F,0.595,0.455,0.3895,0.271,9
F,0.6,0.5,0.4405,0.335,11
M,0.63,0.505,0.492,0.325,11
M,0.63,0.49,0.535,0.335,11
M,0.655,0.525,0.624,0.365,13
M,0.67,0.535,0.7465,0.508,11
M,0.67,0.525,0.6205,0.657,11
M,0.695,0.53,0.664,0.385,10
M,0.77,0.605,0.8005,0.355,11
I,0.28,0.215,0.063,0.03,6
I,0.33,0.23,0.0565,0.046,7
I,0.35,0.25,0.0835,0.041,6
I,0.43,0.315,0.1885,0.11,8
I,0.435,0.33,0.219,0.0885,6
I,0.44,0.35,0.1575,0.115,6
M,0.475,0.37,0.2185,0.146,8
M,0.475,0.36,0.241,0.155,8
I,0.48,0.355,0.201,0.14,8
F,0.585,0.475,0.458,0.3,11
F,0.585,0.455,0.4255,0.2845,11
I,0.39,0.29,0.1255,0.081,7
I,0.405,0.3,0.15,0.088,7
I,0.475,0.365,0.232,0.156,10
M,0.5,0.38,0.269,0.1535,9
F,0.515,0.4,0.2865,0.1765,8
M,0.55,0.43,0.3155,0.2405,10
M,0.56,0.43,0.4,0.229,8
F,0.565,0.45,0.37,0.249,11
M,0.59,0.44,0.439,0.2605,10
M,0.6,0.475,0.5255,0.308,9
F,0.625,0.485,0.531,0.296,10
M,0.43,0.35,0.1675,0.135,10
M,0.49,0.38,0.2175,0.19,11
F,0.535,0.405,0.2725,0.205,10
F,0.44,0.34,0.188,0.13,10
M,0.45,0.32,0.1705,0.115,9
M,0.355,0.28,0.0955,0.075,11
I,0.38,0.275,0.08,0.085,10
F,0.565,0.44,0.4275,0.27,12
F,0.55,0.415,0.318,0.2,9
F,0.56,0.44,0.3825,0.3,11
F,0.58,0.45,0.3945,0.285,11
M,0.665,0.525,0.5515,0.35,18
I,0.21,0.15,0.0175,0.015,4
M,0.485,0.36,0.2595,0.16,10
M,0.405,0.31,0.173,0.11,7
M,0.445,0.35,0.192,0.135,8
M,0.47,0.385,0.2765,0.17,8
M,0.505,0.405,0.305,0.175,9
F,0.53,0.41,0.302,0.2,10
M,0.52,0.4,0.234,0.185,8
F,0.565,0.44,0.354,0.32,12
F,0.475,0.39,0.2135,0.17,10
M,0.57,0.48,0.474,0.38,11
F,0.605,0.45,0.481,0.315,13
F,0.6,0.47,0.363,0.305,10
F,0.615,0.475,0.4695,0.345,14
M,0.595,0.475,0.408,0.58,21
M,0.625,0.465,0.4825,0.4,13
M,0.56,0.44,0.3305,0.26,10
F,0.625,0.495,0.507,0.39,10
F,0.475,0.375,0.2775,0.155,10
I,0.36,0.265,0.105,0.075,7
M,0.44,0.34,0.1305,0.165,10
I,0.385,0.295,0.103,0.085,7
I,0.375,0.275,0.1075,0.07,6
I,0.385,0.29,0.112,0.08,8
M,0.595,0.48,0.4835,0.41,17
F,0.325,0.26,0.085,0.062,7
I,0.28,0.205,0.052,0.042,9
I,0.175,0.13,0.0105,0.0125,5
F,0.605,0.5,0.469,0.335,9
M,0.645,0.485,0.546,0.635,16
M,0.605,0.465,0.4215,0.34,13
M,0.61,0.485,0.544,0.345,12
M,0.725,0.57,1.0705,0.725,14
M,0.705,0.56,0.8175,0.76,14
F,0.52,0.405,0.32,0.22,8
I,0.235,0.16,0.0185,0.015,5
I,0.36,0.26,0.0645,0.075,7
I,0.315,0.21,0.06,0.035,5
M,0.58,0.475,0.385,0.35,11
M,0.64,0.51,0.515,0.57,21
F,0.56,0.45,0.429,0.3,10
F,0.63,0.5,0.54,0.38,10
F,0.585,0.46,0.365,0.29,9
M,0.615,0.48,0.4845,0.325,13
M,0.61,0.485,0.419,0.36,12
M,0.58,0.45,0.276,0.36,14
F,0.505,0.41,0.285,0.21,11
M,0.56,0.45,0.432,0.26,15
M,0.5,0.4,0.254,0.285,13
F,0.53,0.435,0.2985,0.275,13
F,0.525,0.415,0.2755,0.31,13
I,0.37,0.28,0.122,0.08,7
F,0.485,0.395,0.2475,0.235,14
I,0.405,0.3,0.1265,0.11,7
F,0.445,0.355,0.181,0.155,11
I,0.425,0.38,0.1285,0.1,10
M,0.555,0.445,0.336,0.275,13
I,0.44,0.35,0.1815,0.125,12
I,0.075,0.055,0.001,0.0015,1
I,0.11,0.09,0.0025,0.003,3
I,0.16,0.12,0.0075,0.005,5
I,0.23,0.175,0.026,0.02,5
I,0.32,0.245,0.0635,0.05,13
I,0.36,0.275,0.0745,0.07,9
I,0.305,0.245,0.0675,0.045,7
M,0.59,0.47,0.4205,0.36,13
M,0.56,0.45,0.3805,0.41,19
F,0.57,0.44,0.3675,0.27,12
M,0.52,0.45,0.3615,0.235,14
M,0.35,0.275,0.1225,0.0905,8
M,0.62,0.485,0.3875,0.385,14
M,0.63,0.505,0.56,0.45,15
M,0.63,0.515,0.4105,0.41,13
M,0.515,0.38,0.325,0.31,14
F,0.535,0.415,0.295,0.285,10
F,0.535,0.435,0.3155,0.24,10
F,0.565,0.505,0.501,0.355,12
I,0.28,0.21,0.039,0.03,4
M,0.37,0.28,0.0905,0.075,9
F,0.405,0.305,0.1455,0.1,9
I,0.2,0.145,0.0125,0.011,4
M,0.385,0.31,0.1065,0.1,11
I,0.32,0.255,0.073,0.065,7
M,0.36,0.295,0.0865,0.095,8
I,0.36,0.28,0.0885,0.09,8
M,0.5,0.38,0.2135,0.2,12
M,0.62,0.465,0.5705,0.355,11
M,0.6,0.475,0.403,0.325,14
F,0.565,0.45,0.406,0.285,15
M,0.62,0.465,0.579,0.32,12
M,0.49,0.39,0.2795,0.18,13
F,0.525,0.42,0.2745,0.275,9
I,0.375,0.305,0.092,0.09,8
M,0.57,0.46,0.4465,0.245,12
M,0.675,0.525,0.6935,0.395,13
F,0.59,0.465,0.392,0.34,12
F,0.62,0.5,0.4985,0.35,12
F,0.69,0.56,0.68,0.47,17
M,0.63,0.49,0.4935,0.285,11
M,0.565,0.465,0.3895,0.37,15
M,0.485,0.4,0.313,0.2,10
M,0.545,0.425,0.373,0.235,10
I,0.465,0.375,0.222,0.14,9
F,0.47,0.375,0.252,0.18,10
I,0.345,0.275,0.0755,0.07,6
M,0.47,0.38,0.2385,0.185,8
F,0.435,0.325,0.178,0.155,7
M,0.59,0.485,0.39,0.29,16
M,0.585,0.475,0.41,0.28,14
F,0.58,0.46,0.4625,0.28,11
F,0.63,0.5,0.367,0.36,16
F,0.67,0.54,0.518,0.505,14
M,0.6,0.5,0.3995,0.33,19
F,0.56,0.455,0.344,0.375,21
M,0.565,0.455,0.342,0.32,18
M,0.545,0.42,0.2475,0.255,22
M,0.5,0.41,0.2815,0.22,11
I,0.36,0.275,0.095,0.085,10
F,0.665,0.555,0.581,0.36,17
F,0.585,0.465,0.3865,0.265,12
I,0.24,0.185,0.026,0.025,6
I,0.22,0.165,0.0215,0.02,5
I,0.175,0.125,0.008,0.008,5
F,0.53,0.44,0.313,0.2185,9
I,0.43,0.34,0.151,0.1045,9
F,0.52,0.405,0.2645,0.181,11
M,0.53,0.415,0.261,0.2645,17
F,0.58,0.46,0.429,0.26,19
F,0.585,0.465,0.381,0.315,13
M,0.54,0.42,0.3485,0.235,11
F,0.655,0.51,0.5345,0.41,11
F,0.625,0.5,0.3445,0.305,15
F,0.605,0.485,0.435,0.3,19
F,0.58,0.44,0.3665,0.245,12
F,0.625,0.485,0.4385,0.42,17
M,0.6,0.47,0.4865,0.315,15
I,0.56,0.445,0.3005,0.275,16
I,0.68,0.53,0.439,0.34,10
M,0.4,0.29,0.1115,0.075,9
F,0.345,0.25,0.078,0.055,6
M,0.21,0.15,0.0155,0.01,3
F,0.36,0.27,0.0845,0.055,5
M,0.155,0.11,0.0065,0.005,3
I,0.53,0.42,0.299,0.205,20
I,0.47,0.37,0.2095,0.145,10
I,0.465,0.38,0.1895,0.155,11
I,0.52,0.405,0.2,0.179,11
F,0.38,0.29,0.099,0.085,10
M,0.255,0.195,0.0315,0.027,8
I,0.65,0.515,0.495,0.33,17
I,0.56,0.44,0.335,0.25,12
I,0.485,0.39,0.287,0.12,9
F,0.47,0.355,0.2005,0.185,14
I,0.485,0.355,0.245,0.168,12
I,0.45,0.345,0.1975,0.1175,14
F,0.59,0.455,0.382,0.415,20
I,0.61,0.475,0.4145,0.345,10
F,0.61,0.475,0.5275,0.35,11
I,0.58,0.445,0.383,0.255,11
F,0.63,0.48,0.5015,0.515,17
F,0.625,0.49,0.5565,0.365,11
I,0.46,0.355,0.216,0.115,13
I,0.495,0.39,0.284,0.2,11
I,0.52,0.425,0.28,0.195,10
F,0.55,0.41,0.3095,0.25,13
M,0.45,0.335,0.164,0.15,14
I,0.575,0.455,0.3015,0.3,13
F,0.56,0.445,0.305,0.335,16
I,0.425,0.345,0.16,0.154,13
I,0.485,0.37,0.181,0.136,10
M,0.37,0.285,0.0675,0.081,10
M,0.195,0.145,0.01,0.012,4
I,0.495,0.37,0.185,0.169,18
F,0.47,0.355,0.1525,0.152,12
F,0.5,0.385,0.2945,0.195,12
F,0.525,0.405,0.2655,0.225,12
F,0.425,0.335,0.1205,0.125,10
M,0.34,0.265,0.077,0.065,10
M,0.46,0.365,0.1895,0.158,10
M,0.36,0.295,0.066,0.075,9
M,0.355,0.26,0.081,0.055,6
F,0.51,0.4,0.219,0.195,13
M,0.33,0.255,0.0735,0.06,7
M,0.45,0.34,0.1605,0.105,9
I,0.445,0.33,0.12,0.105,11
M,0.255,0.18,0.034,0.025,5
I,0.335,0.245,0.0595,0.06,6
I,0.535,0.45,0.3055,0.295,11
F,0.415,0.34,0.146,0.12,10
F,0.45,0.35,0.1765,0.175,13
M,0.49,0.39,0.225,0.17,21
F,0.37,0.275,0.093,0.08,8
M,0.485,0.37,0.204,0.175,10
F,0.535,0.4,0.3345,0.21,13
F,0.535,0.405,0.26,0.345,16
F,0.43,0.325,0.1475,0.11,11
I,0.315,0.23,0.043,0.04,7
I,0.155,0.105,0.005,0.005,4
M,0.28,0.205,0.0545,0.03,5
F,0.43,0.335,0.155,0.14,13
F,0.395,0.315,0.1185,0.1195,16
M,0.4,0.3,0.191,0.1175,9
F,0.345,0.26,0.0775,0.0765,10
M,0.355,0.265,0.069,0.0695,8
I,0.29,0.205,0.036,0.035,8
I,0.15,0.1,0.0045,0.005,2
M,0.555,0.455,0.3925,0.293,13
F,0.49,0.36,0.161,0.195,17
F,0.52,0.4,0.261,0.165,15
M,0.525,0.4,0.2405,0.275,11
M,0.545,0.42,0.374,0.23,13
M,0.52,0.385,0.2385,0.205,12
F,0.36,0.265,0.078,0.06,8
F,0.52,0.405,0.2795,0.26,17
M,0.53,0.415,0.275,0.265,20
F,0.53,0.42,0.34,0.265,17
M,0.485,0.355,0.215,0.14,10
M,0.57,0.44,0.4775,0.27,13
M,0.57,0.43,0.348,0.31,15
F,0.54,0.44,0.2385,0.3,17
M,0.545,0.45,0.3365,0.3,11
F,0.55,0.43,0.289,0.233,11
I,0.485,0.375,0.2,0.17,8
M,0.465,0.35,0.2015,0.19,15
M,0.56,0.41,0.3505,0.3,13
M,0.505,0.385,0.246,0.215,12
M,0.55,0.415,0.3295,0.2905,15
F,0.505,0.39,0.2475,0.1635,9
F,0.57,0.465,0.3145,0.263,10
M,0.47,0.37,0.1915,0.1625,9
M,0.52,0.42,0.255,0.2885,11
M,0.45,0.335,0.119,0.115,10
M,0.425,0.33,0.152,0.155,9
M,0.405,0.305,0.1235,0.095,7
F,0.49,0.365,0.165,0.205,21
I,0.335,0.25,0.0735,0.0575,6
I,0.36,0.3,0.1185,0.0745,7
I,0.365,0.275,0.108,0.0735,7
I,0.395,0.29,0.127,0.077,6
I,0.475,0.365,0.229,0.172,9
F,0.48,0.365,0.2945,0.175,8
M,0.49,0.385,0.3065,0.1775,8
F,0.55,0.43,0.4035,0.283,8
M,0.555,0.435,0.4985,0.2385,9
M,0.59,0.475,0.4545,0.3095,9
F,0.605,0.475,0.609,0.3985,10
M,0.63,0.505,0.4525,0.406,14
M,0.655,0.58,0.959,0.601,17
M,0.66,0.53,0.5905,0.453,15
F,0.67,0.585,0.5445,0.413,10
F,0.675,0.525,0.784,0.455,12
F,0.685,0.54,0.833,0.475,11
M,0.73,0.595,1.1465,0.897,17
I,0.205,0.14,0.0165,0.0135,6
I,0.24,0.175,0.025,0.021,5
I,0.255,0.19,0.0295,0.027,6
I,0.255,0.18,0.031,0.02,4
I,0.315,0.23,0.053,0.04,8
I,0.33,0.265,0.0775,0.0445,6
I,0.335,0.25,0.0705,0.055,7
I,0.345,0.265,0.111,0.065,7
I,0.385,0.265,0.124,0.07,6
I,0.41,0.31,0.155,0.09,7
I,0.415,0.33,0.17,0.09,6
I,0.425,0.34,0.164,0.1,6
I,0.43,0.325,0.217,0.095,7
I,0.445,0.35,0.1695,0.1195,7
I,0.45,0.36,0.191,0.137,7
I,0.45,0.355,0.197,0.1335,8
I,0.45,0.345,0.2355,0.1135,7
I,0.45,0.335,0.2335,0.119,7
I,0.455,0.375,0.2355,0.1295,6
I,0.46,0.36,0.2325,0.115,7
I,0.46,0.345,0.196,0.1265,7
I,0.465,0.365,0.2315,0.113,7
I,0.465,0.37,0.261,0.143,7
I,0.465,0.345,0.1755,0.12,7
M,0.48,0.385,0.2925,0.1575,6
M,0.48,0.36,0.194,0.115,8
M,0.5,0.39,0.3145,0.1565,6
I,0.505,0.39,0.362,0.156,8
M,0.505,0.41,0.289,0.155,9
I,0.51,0.375,0.238,0.175,7
M,0.525,0.4,0.334,0.17,11
F,0.53,0.425,0.328,0.202,8
F,0.55,0.445,0.544,0.218,9
M,0.57,0.46,0.4075,0.214,7
F,0.58,0.46,0.5575,0.29,7
M,0.59,0.47,0.479,0.309,8
F,0.595,0.45,0.5865,0.25,11
M,0.595,0.475,0.621,0.274,9
F,0.62,0.51,0.594,0.388,11
F,0.625,0.5,0.573,0.315,9
M,0.64,0.505,0.705,0.335,10
F,0.64,0.5,0.693,0.409,11
F,0.645,0.515,0.515,0.385,10
M,0.65,0.495,0.57,0.3725,9
M,0.66,0.495,0.594,0.485,10
F,0.675,0.57,0.739,0.435,10
M,0.69,0.505,0.893,0.48,10
F,0.695,0.535,0.8035,0.503,10
M,0.715,0.565,0.7645,0.4135,10
M,0.765,0.6,1.007,0.6205,12
I,0.185,0.13,0.012,0.0095,4
I,0.2,0.155,0.0155,0.007,4
I,0.275,0.195,0.054,0.028,6
I,0.28,0.21,0.0415,0.034,5
I,0.375,0.275,0.1165,0.065,6
I,0.405,0.3,0.172,0.093,7
I,0.41,0.3,0.1255,0.0875,7
I,0.41,0.325,0.132,0.106,6
I,0.42,0.3,0.1255,0.1035,7
M,0.43,0.335,0.1985,0.1035,7
I,0.435,0.33,0.2055,0.096,6
I,0.44,0.33,0.1545,0.12,7
I,0.445,0.335,0.1985,0.109,8
I,0.45,0.34,0.241,0.12,6
I,0.45,0.33,0.1945,0.098,6
M,0.47,0.36,0.27,0.129,7
I,0.48,0.38,0.3395,0.1665,8
I,0.5,0.375,0.215,0.17,9
M,0.5,0.39,0.2485,0.131,6
I,0.51,0.4,0.2615,0.1525,9
I,0.51,0.38,0.215,0.166,8
I,0.525,0.4,0.325,0.17,8
M,0.55,0.425,0.411,0.2165,10
M,0.56,0.415,0.43,0.205,8
I,0.57,0.44,0.3425,0.224,8
F,0.575,0.45,0.556,0.2575,10
I,0.575,0.435,0.3155,0.245,10
M,0.575,0.445,0.415,0.22,9
M,0.58,0.45,0.486,0.253,9
M,0.585,0.46,0.478,0.235,9
M,0.59,0.47,0.481,0.24,8
F,0.6,0.465,0.5455,0.25,8
M,0.6,0.465,0.512,0.225,10
M,0.615,0.46,0.4815,0.27,10
M,0.645,0.53,0.6465,0.3735,10
F,0.655,0.51,0.5885,0.364,10
I,0.665,0.5,0.6035,0.3595,9
M,0.69,0.53,0.7355,0.3865,12
F,0.69,0.53,0.7945,0.3695,9
M,0.7,0.565,0.895,0.446,9
M,0.7,0.575,1.095,0.638,12
F,0.705,0.55,0.6395,0.301,9
F,0.71,0.56,0.735,0.4525,11
M,0.725,0.505,1.026,0.4505,12
F,0.75,0.57,1.109,0.545,11
I,0.345,0.255,0.0925,0.055,6
I,0.345,0.255,0.105,0.05,5
I,0.36,0.27,0.0875,0.064,4
I,0.365,0.27,0.0825,0.06,7
I,0.365,0.265,0.0945,0.06,7
I,0.37,0.29,0.089,0.075,7
I,0.375,0.29,0.096,0.061,5
I,0.375,0.275,0.093,0.0755,6
I,0.375,0.28,0.0825,0.065,8
I,0.38,0.27,0.0865,0.07,8
I,0.385,0.29,0.111,0.0745,9
I,0.39,0.3,0.1665,0.089,7
I,0.395,0.305,0.1135,0.0945,8
I,0.395,0.295,0.115,0.085,8
I,0.395,0.27,0.1445,0.082,5
I,0.425,0.325,0.173,0.1,7
I,0.44,0.34,0.2115,0.12,9
I,0.47,0.365,0.175,0.135,8
I,0.47,0.355,0.2055,0.1505,8
I,0.47,0.355,0.167,0.115,8
I,0.48,0.37,0.244,0.165,9
I,0.495,0.355,0.214,0.1495,8
I,0.515,0.4,0.32,0.175,9
I,0.52,0.4,0.233,0.18,10
I,0.53,0.415,0.2525,0.189,9
M,0.535,0.435,0.3475,0.194,9
I,0.54,0.42,0.3205,0.229,9
F,0.545,0.445,0.3535,0.207,9
I,0.55,0.425,0.3325,0.215,9
I,0.555,0.43,0.3135,0.28,10
I,0.555,0.43,0.341,0.23,9
I,0.56,0.425,0.3715,0.236,9
F,0.57,0.46,0.397,0.2655,9
M,0.57,0.435,0.382,0.2705,10
M,0.575,0.46,0.4415,0.22,10
M,0.58,0.455,0.405,0.204,10
F,0.58,0.445,0.4,0.253,8
M,0.585,0.475,0.5315,0.2885,10
F,0.595,0.465,0.4115,0.2255,10
M,0.6,0.475,0.508,0.309,10
I,0.6,0.475,0.565,0.27,10
F,0.6,0.455,0.419,0.269,10
M,0.605,0.49,0.419,0.315,10
M,0.615,0.47,0.4465,0.34,10
M,0.615,0.5,0.4845,0.295,10
M,0.62,0.495,0.5765,0.355,12
F,0.625,0.48,0.5865,0.3185,12
F,0.63,0.485,0.5945,0.345,9
M,0.64,0.525,0.4865,0.4075,10
M,0.655,0.535,0.7305,0.46,13
F,0.655,0.52,0.6,0.383,10
F,0.66,0.495,0.724,0.3925,10
F,0.67,0.53,0.63,0.3725,11
F,0.7,0.545,0.6725,0.195,12
M,0.705,0.565,1.1075,0.512,10
F,0.745,0.57,1.1565,0.558,9
I,0.14,0.105,0.0055,0.004,3
I,0.375,0.28,0.187,0.067,7
I,0.4,0.3,0.1185,0.08,7
I,0.405,0.3,0.1455,0.0805,6
M,0.415,0.315,0.2015,0.103,9
I,0.43,0.34,0.2385,0.1075,6
I,0.47,0.355,0.126,0.1365,6
M,0.485,0.39,0.2945,0.198,8
F,0.505,0.38,0.361,0.161,9
I,0.515,0.4,0.25,0.17,7
M,0.52,0.4,0.254,0.149,8
F,0.55,0.43,0.375,0.1945,8
M,0.57,0.445,0.504,0.249,8
M,0.575,0.465,0.595,0.238,9
M,0.575,0.46,0.4005,0.2385,8
F,0.58,0.46,0.65,0.3055,9
F,0.58,0.435,0.475,0.2095,9
M,0.59,0.44,0.387,0.245,8
M,0.6,0.465,0.6405,0.357,9
F,0.605,0.485,0.417,0.38,9
F,0.61,0.485,0.5125,0.305,11
F,0.63,0.49,0.6805,0.3245,10
M,0.645,0.51,0.6405,0.43,11
F,0.65,0.5,0.702,0.3195,9
F,0.68,0.5,0.7665,0.4685,12
I,0.295,0.215,0.047,0.0405,6
I,0.305,0.225,0.063,0.0415,6
I,0.36,0.265,0.083,0.055,7
I,0.37,0.27,0.097,0.065,6
I,0.38,0.29,0.108,0.082,6
I,0.385,0.29,0.1,0.076,8
I,0.385,0.3,0.1525,0.0835,8
I,0.39,0.29,0.095,0.073,7
I,0.425,0.325,0.135,0.09,8
