sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105
M,0.67,515,165,1.1735,526,285,316
M,675,505,0.16,1532,0.74,357,0.3815
F,685,0.53,0.17,1.5105,0.7385,0.3525,0.3725
F,485,0.39,0.1,0.5565,0.2215,0.1155,185
M,0.46,0.35,125,0.5165,0.1885,0.1145,185
M,535,0.42,125,764,312,0.1505,265
M,0.51,0.4,0.14,0.6905,259,151,0.23
M,0.55,425,0.16,0.97,0.2885,139,0.48
I,0.2,0.15,0.04,46,21,7,0.0065
M,0.55,0.42,0.17,0.8465,336,0.2405,245
M,585,0.45,0.15,1047,0.4315,276,315
F,0.7,0.54,215,1978,0.6675,0.3125,0.71
F,665,0.5,175,1742,595,0.3025,725
F,0.47,375,105,513,232,142,0.13
M,425,335,0.1,0.4085,0.1755,92,135
M,505,395,125,635,0.29,0.1555,175
M,535,0.44,165,875,279,0.18,0.3
M,0.55,435,0.11,806,0.3415,203,215
F,0.34,255,85,204,97,21,0.05
I,275,0.2,65,0.1165,0.0565,13,35
F,335,0.22,0.07,0.17,76,0.0365,0.05
F,0.55,0.44,125,765,0.33,0.2125,245
F,545,0.41,115,0.6765,0.29,158,0.22
F,0.64,0.54,175,1571,627,271,475
M,605,0.49,155,1153,503,0.2505,295
M,0.56,0.45,155,0.9125,0.3595,271,0.35
F,0.57,465,155,872,0.3245,239,285
M,525,405,0.16,792,316,0.1455,0.28
M,0.45,355,0.12,0.3955,147,0.0765,145
I,0.51,405,0.12,0.61,229,131,235
F,0.49,0.38,0.13,539,229,0.1355,165
F,505,0.41,135,657,291,133,195
M,0.38,0.3,0.1,0.2505,106,0.0535,0.0775
M,0.5,385,135,551,0.2245,0.0715,206
M,645,505,165,1307,0.4335,262,0.52
M,565,0.44,115,0.9185,404,0.1785,0.29
F,0.67,545,175,1707,0.6995,387,575
F,0.59,415,0.15,0.8805,0.3645,234,235
F,0.47,0.36,0.11,0.4965,237,127,0.13
F,0.51,385,135,632,282,145,0.17
M,0.55,405,0.15,0.9235,412,0.2135,0.24
I,0.2,145,25,0.0345,11,0.0075,0.01
F,525,405,115,0.72,0.3105,0.1915,0.2
F,0.61,0.47,0.16,1017,426,0.2255,0.32
F,545,405,175,0.98,0.2585,207,0.38
I,325,245,75,0.1495,0.0605,33,45
I,0.31,235,75,0.1515,56,0.0315,0.05
M,0.45,335,0.14,478,0.1865,115,0.16
F,0.49,0.38,155,578,0.2395,0.1255,0.18
F,505,405,0.16,0.6835,271,145,215
F,385,0.3,0.1,0.2725,0.1115,57,0.08
F,0.62,485,0.22,1511,0.5095,284,0.51
F,665,0.53,185,1.3955,456,0.3205,0.49
M,335,265,95,0.1975,0.0795,0.0375,0.07
I,295,215,75,116,37,0.0295,0.04
I,0.32,0.25,0.08,0.1565,57,34,0.06
I,0.43,0.34,125,384,0.1375,61,146
F,0.6,0.48,165,1.1345,0.4535,0.27,335
F,555,0.42,0.14,868,0.33,243,0.21
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,545
M,425,0.34,0.12,388,149,87,125
M,675,525,175,1402,483,0.3205,465
M,0.5,0.4,145,0.6025,216,138,0.21
M,0.52,435,195,973,0.2985,0.2135,355
M,0.52,415,175,753,258,171,255
M,0.64,525,0.2,1.3765,0.44,0.3075,0.47
I,0.44,0.35,0.12,375,0.1425,0.0965,115
F,0.42,0.32,0.13,0.4135,0.1645,106,119
F,0.45,0.35,135,0.56,231,137,145
F,0.64,505,0.19,1.2765,0.4835,328,0.4
M,485,0.41,0.15,696,0.2405,0.1625,265
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,365
F,0.59,485,205,1.2315,0.4525,238,0.42
M,695,0.53,0.15,1477,0.6375,0.3025,0.43
F,0.69,0.54,185,1.5715,0.6935,318,0.47
M,0.65,525,0.19,1.4995,0.6265,0.4005,395
M,635,0.48,0.19,1467,0.5825,303,0.42
F,655,0.51,0.16,1092,396,0.2825,0.37
F,0.69,555,205,1.8165,0.7785,0.4395,515
M,0.55,435,0.16,906,342,219,295
M,595,0.5,165,1.06,402,0.28,275
F,435,0.35,125,459,197,0.1145,145
I,455,375,125,533,233,106,185
M,0.48,0.38,0.13,0.6175,0.3,142,175
I,0.43,0.35,105,366,0.1705,0.0855,0.11
F,435,0.35,105,0.4195,194,0.1005,0.13
I,0.3,0.23,75,0.15,0.0605,42,45
M,455,375,125,484,0.2155,102,165
M,0.64,505,165,1.4435,0.6145,0.3035,0.39
F,0.56,435,125,0.8775,0.3345,0.2145,0.29
F,645,0.52,0.19,1.3105,0.58,288,0.37
F,595,485,145,1.2515,0.5035,0.2925,0.33
M,565,0.45,115,0.9085,398,197,0.29
F,655,0.5,0.14,1.1705,0.5405,0.3175,285
M,0.48,0.38,135,528,0.2,0.1395,0.16
F,495,385,135,0.6625,0.3005,0.1635,185
F,0.4,335,115,0.4335,0.2105,0.1205,0.12
M,0.41,0.31,125,0.3595,0.1415,0.0885,115
M,0.52,425,155,0.7735,297,123,255
F,0.5,405,0.14,0.6735,265,124,0.25
F,465,0.39,0.14,0.5555,213,0.1075,215
F,0.59,475,155,0.9715,371,235,0.28
M,565,0.44,155,868,348,217,0.26
F,0.62,0.51,175,1.1255,0.4985,227,315
M,0.55,0.46,0.13,0.7085,305,0.1455,205
F,0.51,395,0.12,0.6175,262,122,193
M,0.53,405,0.13,738,0.2845,0.17,193
M,575,455,185,1156,0.5525,243,295
F,0.63,0.5,0.16,1.22,0.4905,0.3,345
M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
M,645,0.5,0.19,1229,524,278,395
F,0.62,0.5,175,1146,477,0.23,0.39
M,605,485,175,1145,0.4325,0.27,405
F,615,0.5,205,1.1055,0.4445,227,0.39
F,0.66,525,0.19,1.67,0.6525,0.4875,0.49
I,0.6,445,175,1057,383,216,355
F,0.45,325,135,438,0.1805,0.1165,0.11
M,275,0.2,0.08,99,37,24,0.03
I,485,355,0.12,0.5085,0.21,122,135
F,0.62,485,165,1166,483,238,355
M,0.4,0.31,0.11,314,138,57,0.1
I,0.45,355,115,0.4385,184,108,0.1125
M,0.35,0.26,0.09,195,0.0745,41,0.0655
M,0.44,0.35,0.14,451,171,0.0705,184
M,265,0.2,65,84,34,0.0105,0.03
M,165,125,0.04,0.0245,0.0095,0.0045,8
F,535,425,155,0.7765,302,0.1565,0.25
I,0.49,385,0.14,0.5425,198,127,175
F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
I,375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
M,345,265,0.09,163,0.0615,37,0.0485
I,0.55,415,135,0.8095,0.2985,0.2015,0.28
I,575,475,0.17,967,0.3775,284,275
F,545,435,0.15,0.6855,0.2905,145,225
F,0.51,0.34,0.18,0.7005,312,165,0.2
I,0.44,0.34,125,0.4895,0.1735,0.0875,0.2
I,0.45,0.36,125,0.45,191,0.0865,145
I,0.39,0.3,105,259,0.0955,38,85
F,0.45,0.35,125,0.4435,185,0.09,145
I,0.66,525,0.18,1.6935,0.6025,0.4005,0.42
F,685,525,175,1.71,0.5415,309,0.58
F,585,475,185,0.8575,0.3465,0.1785,275
F,0.49,0.39,135,0.59,215,125,0.1845
I,495,0.38,145,515,175,98,212
I,0.49,385,115,683,0.3265,0.1615,165
F,0.52,405,145,829,0.3535,0.1685,205
I,475,365,0.14,0.4545,171,118,158
F,455,0.36,0.11,0.4385,206,98,125
I,375,285,0.1,239,105,0.0555,0.07
M,285,215,75,106,0.0415,23,35
M,0.41,315,95,306,121,0.0735,0.09
M,0.41,0.3,0.1,301,124,69,0.09
I,0.44,0.31,115,0.3625,134,82,0.12
M,0.28,0.21,65,0.0905,35,0.02,0.03
I,0.59,465,195,1.0885,0.3685,187,375
I,0.61,0.48,165,1097,0.4215,264,335
I,0.44,0.33,135,522,0.17,0.0905,195
M,0.54,405,155,0.9715,0.3225,194,0.29
F,475,375,125,588,237,0.1715,155
F,0.46,0.33,0.15,0.5325,0.2085,0.1805,125
I,255,0.19,0.07,0.0815,28,16,31
M,335,255,75,0.1635,0.0615,0.0345,57
I,295,0.21,0.08,0.1,38,26,31
I,0.19,0.13,45,0.0265,9,5,9
M,545,435,165,0.9955,0.3245,0.2665,325
M,495,0.4,0.12,0.6605,0.2605,161,0.19
M,0.5,375,0.13,721,0.3055,0.1725,0.22
F,305,225,0.07,0.1485,0.0585,0.0335,45
M,515,0.4,125,955,341,0.2535,0.26
M,0.74,535,185,1.65,734,0.4505,335
M,565,465,0.15,1.1285,377,0.3525,0.33
M,545,0.42,125,0.9745,353,174,305
M,645,515,185,1.4605,0.5835,0.3155,0.41
M,0.62,0.48,0.16,1.0765,412,253,0.3
F,605,0.45,165,1.2225,357,202,385
M,605,475,0.16,1616,0.5495,332,0.34
F,475,375,0.15,559,0.1955,0.1215,0.1945
F,0.46,0.35,115,0.44,0.19,0.1025,0.13
M,0.53,0.43,135,879,0.28,0.2165,0.25
M,0.48,395,0.15,0.6815,0.2145,0.1405,0.2495
M,455,345,0.15,0.5795,0.1685,125,215
I,0.35,265,0.11,209,66,59,75
M,0.37,0.28,105,224,0.0815,0.0575,75
I,0.35,265,0.08,192,81,0.0465,53
I,0.39,315,0.09,0.3095,147,0.05,0.09
I,395,0.31,95,313,131,72,93
I,0.43,0.32,0.1,0.3855,192,0.0745,0.1
I,0.48,355,115,0.5785,0.25,106,184
M,0.49,395,0.12,674,0.3325,0.1235,185
F,0.49,0.37,105,0.5265,249,0.1005,148
F,0.56,465,0.16,1.0315,432,0.2025,337
M,0.56,0.45,0.14,0.9,472,182,218
M,0.59,0.47,135,1.1685,539,279,0.28
M,0.64,0.51,0.17,1.3715,567,307,409
F,0.65,545,185,1.5055,0.6565,341,0.43
M,0.71,0.55,0.2,1.9045,882,0.44,0.5
M,0.74,605,0.2,2.4925,1.1455,575,0.5235
I,0.25,0.18,65,0.0805,0.0345,0.0185,0.0215
I,0.28,0.21,65,111,0.0425,0.0285,0.03
I,325,0.24,75,152,65,0.0305,45
I,0.35,265,95,199,73,49,0.06
I,0.38,275,95,0.2505,0.0945,0.0655,75
I,395,0.3,0.09,279,134,49,75
I,0.44,0.35,125,456,0.21,0.0955,131
I,465,0.37,0.1,0.5055,234,0.11,0.14
F,465,355,115,0.4705,0.1955,118,126
I,0.5,385,0.11,596,0.3015,104,151
F,505,0.39,0.12,0.5725,0.2555,0.1325,146
M,0.52,395,125,0.8115,0.4035,166,0.2
F,525,0.44,125,0.7115,0.3205,159,0.1915
F,555,0.44,145,0.8815,0.43,0.1975,0.2155
F,575,0.46,165,1065,0.4985,0.2145,0.2815
M,0.6,475,155,1.1385,502,0.2295,0.31
F,0.61,0.48,0.16,1234,598,238,315
F,0.61,0.47,0.16,1.0745,0.4925,236,0.29
M,615,505,0.19,1403,0.6715,0.2925,365
F,625,495,0.16,1.1115,0.4495,0.2825,345
M,625,485,0.17,1437,0.5855,293,475
M,635,495,155,1.3635,583,0.2985,295
F,665,0.52,165,1.6885,0.7295,407,0.4265
F,715,585,0.23,2.0725,0.8655,0.4095,565
M,0.72,565,0.2,1787,718,385,529
F,725,0.58,185,1523,0.8045,0.3595,0.4375
I,165,0.12,0.05,21,0.0075,0.0045,14
I,0.21,0.15,55,0.0455,0.02,0.0065,13
I,355,265,85,0.2435,122,0.0525,0.06
I,0.4,315,85,0.2675,116,0.0585,0.0765
I,0.4,0.29,0.1,258,104,59,0.0815
I,0.4,0.3,0.11,0.2985,0.1375,71,75
I,435,335,0.11,411,0.2025,0.0945,0.1
I,0.45,0.34,105,0.4385,0.21,0.0925,0.12
I,465,345,105,0.4015,242,0.0345,109
I,485,0.37,115,637,0.38,0.1335,128
F,505,475,0.16,1.1155,509,239,0.3065
I,0.51,405,0.13,599,0.3065,0.1155,0.1485
F,0.53,0.42,0.14,627,0.2905,0.1165,183
M,535,0.42,0.16,0.7465,348,0.1515,0.2185
M,0.55,0.44,0.16,985,0.4645,201,0.27
M,555,0.44,145,0.85,0.4165,0.1685,0.23
F,555,0.43,135,812,0.4055,163,0.2215
M,0.56,415,0.13,0.7615,0.3695,0.17,0.1955
M,575,0.44,145,0.87,0.3945,0.2195,225
F,585,0.45,145,0.9835,0.4845,242,0.22
M,0.59,0.46,145,929,0.38,0.24,255
F,595,0.47,165,1.0155,491,0.1905,289
M,0.6,0.41,145,939,0.4475,196,268
M,0.6,475,0.16,1164,0.5045,0.2635,335
F,615,0.49,0.19,1.1345,0.4695,257,348
F,0.62,0.51,0.18,1233,592,274,322
M,625,495,0.18,1.0815,0.4715,254,0.3135
F,0.64,0.5,165,1.1635,554,239,0.32
F,0.64,475,175,1.1545,0.4865,341,288
F,645,0.52,175,1.3345,667,0.2665,355
M,0.65,505,0.18,1469,0.7115,0.3335,0.38
M,655,0.52,0.18,1492,0.7185,0.36,355
F,655,0.54,175,1.5585,0.7285,402,385
M,0.67,525,0.18,1.6615,0.8005,0.3645,0.43
F,0.69,525,0.19,1492,0.6425,0.3905,0.42
F,0.7,575,0.2,1.7365,0.7755,0.3965,461
M,0.71,0.57,195,1348,0.8985,0.4435,0.4535
F,0.72,545,185,1.7185,0.7925,401,468
I,0.24,185,0.06,0.0655,0.0295,0.0005,0.02
I,0.32,0.24,85,131,0.0615,0.0265,38
I,0.33,0.23,85,0.1695,79,26,0.0505
I,335,0.26,85,192,97,0.03,54
I,0.35,265,85,0.1735,0.0775,34,56
I,0.36,265,75,0.1785,0.0785,35,54
I,0.36,265,0.09,0.2055,96,37,0.0585
I,365,275,0.09,0.2345,108,51,0.0625
I,0.38,285,0.09,0.2305,0.1005,39,0.0775
I,0.4,0.31,115,314,0.1545,0.0595,87
I,0.4,315,0.09,0.33,151,68,0.08
I,0.4,265,0.1,0.2775,0.1245,0.0605,0.08
I,425,325,0.11,405,0.1695,92,0.1065
I,445,355,95,0.3615,0.1415,0.0785,0.12
I,455,435,0.11,0.4265,195,0.09,0.1205
I,0.46,0.34,0.09,384,0.1795,68,0.11
I,475,0.36,135,0.4355,196,0.0925,125
I,475,0.35,115,498,0.2375,99,0.14
I,0.48,355,125,494,0.2385,0.0835,0.15
F,495,0.37,0.12,594,0.28,0.11,0.1375
I,515,0.4,135,636,0.3055,0.1215,0.1855
I,525,0.39,105,567,0.2875,0.1075,0.16
M,535,415,135,0.78,0.3165,169,0.2365
I,535,0.41,0.13,0.6075,268,0.1225,0.1975
I,0.55,425,155,0.8725,412,187,0.2425
F,565,0.45,175,1.2365,0.5305,0.2455,308
M,0.57,0.47,155,1186,0.6355,0.2315,277
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365
F,0.57,0.42,0.16,0.8875,0.4315,0.1915,223
I,575,455,155,0.8725,349,0.2095,285
I,575,0.44,125,0.8515,0.4555,0.1715,0.1965
F,575,475,0.16,895,0.3605,221,271
M,575,0.45,155,886,0.3605,211,0.2575
I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27
I,0.58,0.46,0.14,0.8295,0.3915,165,238
I,0.58,0.47,0.15,907,444,0.1855,0.2445
F,595,465,145,0.7955,0.3425,0.1795,0.2425
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205
F,0.6,475,155,1059,441,0.19,0.39
M,0.6,475,0.23,1157,522,0.2235,0.36
F,0.6,485,145,776,0.3545,0.1585,239
F,0.62,0.48,165,1043,0.4835,221,0.31
M,625,0.48,0.16,1.1415,0.5795,0.2145,0.29
F,625,475,0.16,1.3335,605,0.2875,319
M,625,485,0.16,1.2135,631,0.2235,302
I,0.63,465,0.15,1.0315,0.4265,0.24,325
M,635,495,0.17,1.3695,657,0.3055,365
M,0.65,515,185,1.3745,0.75,0.1805,369
M,0.65,515,0.18,1463,658,0.3135,0.4115
F,0.65,475,165,1.3875,0.58,0.3485,0.3095
M,685,0.53,0.17,1.56,647,383,465
M,715,0.52,0.18,1.6,708,0.3525,445
I,0.37,285,95,226,0.1135,0.0515,0.0675
I,455,0.37,0.11,514,0.2385,0.1235,126
F,0.51,375,0.11,0.5805,0.2865,118,148
M,515,0.39,0.14,678,341,0.1325,119
M,545,0.43,155,0.8035,409,144,228
F,555,405,0.12,913,0.4585,196,0.2065
F,0.59,465,0.17,1.0425,0.4635,0.24,0.27
M,0.6,0.46,0.18,1.14,423,0.2575,365
M,615,475,155,1.0735,0.4375,0.2585,0.31
M,615,475,0.19,1.4335,0.7315,305,0.3285
M,0.62,0.46,0.16,0.9505,0.4915,0.2,228
M,0.63,515,0.17,1385,0.6355,0.2955,0.38
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32
M,655,505,165,1.27,0.6035,262,335
F,665,0.5,175,1.4355,643,345,0.37
F,0.67,525,195,1.42,573,368,0.3905
M,0.69,0.53,0.19,1.5955,678,331,0.48
M,715,525,0.2,1.89,0.95,436,0.4305
I,0.27,205,0.05,84,0.03,0.0185,29
I,295,0.22,85,0.1285,0.0585,27,0.0365
I,0.3,225,75,0.1345,57,28,44
I,0.3,0.22,65,0.1195,52,0.0155,35
I,0.37,275,95,257,0.1015,55,0.0825
I,0.39,0.29,0.09,0.2745,135,0.0455,78
I,0.44,0.34,105,344,123,81,125
I,445,345,0.12,0.4035,169,0.0825,0.13
I,465,0.37,115,0.4075,0.1515,0.0935,0.1455
I,465,355,0.12,0.4975,0.2375,99,0.14
I,0.47,345,0.12,0.3685,0.1525,0.0615,125
I,475,335,0.1,0.4425,0.1895,86,135
I,485,365,125,426,163,0.0965,151
I,0.49,0.39,0.12,511,0.2205,103,0.1745
I,0.52,415,0.14,0.6385,0.2945,0.1405,171
I,0.53,425,0.13,781,0.3905,0.2005,215
I,0.53,0.42,0.14,0.6765,256,0.1855,208
M,0.53,0.41,125,769,346,173,215
I,535,0.45,155,0.8075,0.3655,148,0.2595
M,545,0.41,0.14,737,349,0.15,212
I,0.55,415,0.15,0.7915,0.3535,176,236
I,0.55,0.4,135,717,0.3315,0.1495,221
I,555,0.43,0.15,783,345,0.1755,247
I,575,0.45,145,872,0.4675,0.18,217
I,575,0.44,0.15,983,486,215,239
F,585,0.42,155,1034,437,0.2225,0.32
F,585,465,145,0.9855,0.4325,0.2145,0.2845
I,585,0.46,0.14,0.7635,326,153,265
M,0.59,465,135,0.9895,0.4235,199,0.28
I,595,0.47,135,0.9365,434,184,287
F,595,0.44,135,964,0.5005,0.1715,0.2575
F,595,0.46,155,1.0455,0.4565,0.24,0.3085
F,595,0.45,165,1081,0.49,0.2525,279
F,0.6,0.5,0.16,1122,0.5095,256,309
M,605,0.49,165,1.1245,492,222,0.3555
F,605,0.49,0.15,1.1345,0.4305,0.2525,0.35
M,0.61,0.45,0.19,1.0805,517,0.2495,0.2935
F,0.61,495,165,1.0835,0.4525,273,317
M,0.62,0.5,0.18,1.3915,726,0.2795,332
M,0.62,525,155,1085,454,0.1965,0.35
M,0.62,0.48,165,1.0855,481,0.2575,305
I,625,485,0.16,1.15,0.5255,257,0.3315
M,0.64,0.5,175,1273,0.5065,0.2925,405
M,645,0.51,0.19,1.4865,0.6445,296,425
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36
M,0.65,495,0.17,1276,0.6215,0.2305,399
F,0.65,0.52,195,1281,0.5985,246,0.3825
M,0.65,525,205,1.4275,0.69,306,0.4355
F,0.65,0.51,175,1.35,575,0.3155,0.3885
M,0.65,525,0.19,1.3685,0.5975,296,0.4
F,0.66,0.53,0.17,1431,622,309,398
M,0.66,0.51,0.18,1261,0.5,0.2335,339
F,665,0.54,195,1764,0.8505,0.3615,0.47
F,0.67,0.51,155,1278,0.5605,0.3045,358
M,0.67,0.54,195,1217,532,0.2735,0.3315
F,675,535,185,1.5575,0.7035,402,0.4
M,675,0.51,0.17,1527,809,318,341
M,685,0.55,0.19,1885,0.89,0.41,0.4895
M,705,0.55,0.21,1.4385,655,0.3255,462
F,705,0.53,0.17,1564,612,394,0.44
F,725,0.56,185,1792,873,367,435
I,235,0.13,75,0.1585,0.0685,37,0.0465
I,0.36,0.25,115,465,0.21,0.1055,128
F,0.38,0.32,115,0.6475,323,0.1325,164
I,0.47,355,0.12,0.4915,0.1765,0.1125,0.1325
F,485,365,0.15,0.9145,0.4145,199,273
M,495,375,155,976,0.45,0.2285,0.2475
I,0.5,395,145,0.7865,332,0.1815,0.2455
I,0.51,375,0.15,0.8415,0.3845,156,255
M,0.51,0.38,135,681,0.3435,142,0.17
M,605,455,0.16,1.1215,533,273,271
M,615,505,165,1167,0.4895,0.2955,345
M,625,0.48,0.18,1223,565,0.2975,0.3375
M,625,0.47,0.15,1124,556,0.2315,287
F,635,505,0.17,1.2635,512,322,355
F,0.65,525,165,1238,647,0.2485,0.3005
F,0.65,0.5,0.17,1.4045,694,318,0.3235
F,0.67,525,195,1.37,0.6065,0.2955,407
F,705,555,195,1.7525,0.7105,0.4215,516
I,275,205,65,101,41,21,34
I,285,205,0.07,106,39,0.0285,34
I,385,0.29,0.1,0.2575,0.1,61,86
I,0.4,315,0.1,0.3225,143,0.0735,91
I,475,355,135,0.4775,0.2145,0.09,0.1435
I,475,0.36,0.11,452,191,99,0.13
I,485,0.37,0.14,0.5065,0.2425,88,0.1465
I,0.51,395,105,0.5525,234,127,165
I,515,0.39,0.12,565,235,135,179
I,525,0.4,0.14,0.6055,0.2605,108,0.21
M,0.53,425,155,0.7905,307,171,0.2595
M,0.53,425,0.13,702,0.2975,0.1395,0.22
M,0.53,0.42,135,675,294,156,0.1825
I,0.53,395,115,475,0.2025,101,148
I,0.53,0.41,0.15,612,0.2435,0.1525,0.1895
I,535,0.4,145,705,0.3065,0.1365,0.22
I,535,0.45,135,728,0.2845,0.1845,265
M,555,0.46,0.16,0.86,0.3345,0.1935,275
F,0.56,0.43,145,898,0.3895,0.2325,245
I,575,0.45,145,795,364,0.1505,0.26
M,575,465,0.12,1.0535,516,0.2185,235
F,575,0.46,0.15,927,333,207,0.2985
M,0.58,0.45,155,0.8275,321,0.1975,0.2445
M,585,0.47,145,0.9565,0.4025,0.2365,265
I,0.59,0.45,125,0.86,437,0.1515,245
M,595,0.48,185,1.1785,526,0.2975,314
M,615,455,0.13,0.9685,0.49,182,0.2655
F,0.62,0.5,175,1107,0.4895,0.24,343
M,0.62,0.48,155,1.2555,527,374,0.3175
M,625,0.5,185,1.2425,0.5995,248,335
F,645,0.51,155,1129,0.5015,0.24,342
F,0.65,505,175,1.2075,0.5105,262,0.39
F,665,525,0.18,1.5785,678,229,456
M,0.67,0.52,175,1.4755,0.6275,379,374
M,675,0.54,175,1.5545,0.6645,278,512
F,705,0.56,0.17,1.4575,607,318,0.44
I,205,155,45,0.0495,0.0235,11,14
I,305,0.23,75,0.1455,0.0595,0.0305,0.05
I,0.32,0.23,0.06,129,0.0615,0.0275,0.0355
I,355,0.27,0.1,0.2255,0.11,42,64
M,425,305,0.11,359,173,0.0875,0.0975
I,425,0.31,95,0.3505,0.1645,71,0.1
F,0.45,365,115,0.5885,318,121,0.1325
F,0.52,375,135,0.5375,221,117,0.17
I,525,0.4,125,0.5655,0.2435,119,175
M,555,445,0.13,0.8625,0.4225,155,0.24
F,0.61,0.49,0.17,1137,0.4605,0.2825,344
I,0.35,0.26,95,221,0.0985,43,0.07
I,0.38,275,95,0.2425,106,0.0485,0.21
I,0.46,0.34,0.1,386,0.1805,0.0875,0.0965
M,0.57,0.45,0.14,0.9275,477,0.1605,0.2515
M,0.57,0.44,145,0.8815,0.3605,0.1955,0.2735
F,615,455,135,1059,0.4735,263,274
M,0.62,0.46,0.17,1127,535,0.2635,296
M,625,0.47,0.17,1.1665,0.4605,0.2565,0.3945
F,0.68,0.52,185,1541,0.5985,395,0.4575
M,0.68,0.52,175,1543,0.7525,351,374
M,0.5,385,0.12,0.6335,0.2305,125,235
F,0.46,365,115,0.4485,165,83,0.17
M,535,0.41,0.15,0.8105,345,187,0.24
M,335,0.26,75,0.22,0.0855,0.04,85
F,425,0.35,0.1,0.4425,175,0.0755,175
M,0.41,325,0.1,0.3555,146,72,105
I,335,0.25,95,185,0.0795,0.0495,55
M,0.52,425,125,0.79,372,205,0.19
F,0.53,0.41,145,0.8255,375,204,245
M,0.5,0.42,125,0.62,255,0.15,205
F,615,475,145,0.9525,0.3915,195,0.32
M,575,0.45,0.16,955,0.44,0.1685,0.27
M,455,0.35,105,416,0.1625,97,145
I,0.37,275,85,0.2045,96,56,0.08
M,445,0.37,125,515,0.2495,87,159
F,675,535,0.22,1604,0.6175,0.4255,453
F,375,295,0.11,0.3005,0.1255,0.0575,0.1035
M,0.56,0.44,0.13,0.8255,0.2425,202,285
M,0.55,0.41,0.15,785,282,186,275
F,0.57,465,155,0.9685,446,261,255
I,335,255,85,0.1785,71,0.0405,55
F,565,0.45,165,0.9765,322,244,0.37
F,655,0.5,0.18,1.4155,508,314,445
M,525,395,165,782,285,0.1405,285
F,525,0.43,165,717,289,0.1745,195
F,0.5,0.39,0.13,0.6355,0.2505,0.1635,195
F,0.44,0.34,135,0.3975,0.1505,0.0945,135
F,0.45,0.36,0.11,447,203,82,0.13
F,515,0.4,115,578,191,0.1445,0.17
M,545,0.45,0.16,0.8615,0.2925,0.1545,365
M,0.45,355,115,478,0.18,0.1185,155
F,565,455,0.13,1058,439,0.2645,0.3
F,0.67,545,0.16,1.5415,0.5985,0.2565,495
I,0.29,225,75,152,71,59,45
I,0.41,0.33,105,335,0.1525,74,0.11
F,0.46,375,0.12,0.4915,0.2205,88,0.17
F,0.56,0.44,155,0.9705,0.4315,263,255
M,0.62,0.5,0.2,1221,0.4605,263,0.43
M,515,0.4,0.14,0.7365,0.2955,184,185
F,0.56,0.46,0.18,0.97,342,196,355
F,0.5,0.4,0.15,0.8085,273,112,295
I,435,355,125,0.4075,0.1535,74,165
M,0.76,575,0.19,1829,0.7035,386,0.56
F,615,0.5,165,1.1765,488,244,345
F,565,0.46,0.15,0.8765,0.3455,0.1925,275
I,0.14,105,35,0.0145,5,0.0035,5
M,445,345,0.14,476,0.2055,0.1015,0.1085
F,525,0.43,125,813,0.3315,166,0.1775
I,0.16,0.12,0.02,18,0.0075,0.0045,5
M,575,0.47,165,853,292,179,0.35
M,245,0.18,65,0.0635,0.0245,0.0135,0.02
I,0.48,0.39,0.15,0.6275,276,134,185
I,455,365,135,441,0.1515,0.1165,145
F,455,375,125,458,0.1985,111,0.12
M,455,355,135,0.4745,0.1865,0.0935,168
I,355,0.27,0.1,216,83,37,75
I,0.54,0.4,145,757,315,181,215
I,0.56,445,165,1.0285,0.4535,253,275
F,0.52,0.41,0.16,712,0.2845,153,225
I,615,0.46,0.19,1066,0.4335,226,0.33
F,645,0.49,0.19,1.3065,479,0.3565,345
M,295,0.23,85,125,42,0.0285,43
M,375,0.28,95,0.2225,0.0875,43,0.08
I,525,0.4,0.14,0.6955,0.2405,0.16,253
F,0.5,0.4,165,0.7105,0.27,0.1455,225
F,0.47,0.35,115,487,0.1955,127,155
I,0.58,0.42,0.16,728,0.2725,0.19,0.19
I,725,0.55,0.22,2.0495,0.7735,0.4405,655
F,0.65,515,215,1498,564,323,425
F,0.67,535,185,1597,0.6275,0.35,0.47
I,0.55,0.44,165,0.8605,312,169,0.3
I,235,0.18,0.06,58,22,0.0145,18
M,0.52,0.41,115,0.77,263,157,0.26
F,475,0.4,115,541,186,0.1025,0.21
M,0.53,425,0.11,739,237,161,295
F,0.35,275,65,205,0.0745,0.0465,0.07
M,555,0.42,145,0.8695,0.3075,0.2575,0.25
M,505,0.39,105,0.6555,0.2595,0.18,0.19
F,0.54,0.44,0.16,1.0905,391,0.2295,355
M,0.55,0.45,175,1.0985,0.3765,215,0.4
I,235,175,65,0.0615,0.0205,0.02,19
M,525,0.41,165,0.8005,0.2635,0.1985,0.25
